date,hole,method,mode,P(TM),P(rpr),P(nd),P(issl)
2018-02-01,10р,6,1,,,,
2018-02-02,10р,6,1,,,,
2018-02-03,10р,6,1,,,,
2018-02-04,10р,6,1,,,,
2018-02-05,10р,6,1,,,,
2018-02-06,10р,6,1,,,,
2018-02-07,10р,6,1,,,,
2018-02-08,10р,6,1,,,,
2018-02-09,10р,6,1,,,,
2018-02-10,10р,6,1,,,,
2018-02-11,10р,6,1,,,,
2018-02-12,10р,6,1,,,,
2018-02-13,10р,6,1,,,,
2018-02-14,10р,6,1,,,,
2018-02-15,10р,6,1,,,,
2018-02-16,10р,6,1,,,,
2018-02-17,10р,6,1,,,,
2018-02-18,10р,6,1,,,,
2018-02-19,10р,6,1,,,,
2018-02-20,10р,6,1,,,,
2018-02-21,10р,6,1,,,,
2018-02-22,10р,6,1,,,,
2018-02-23,10р,6,1,,,,
2018-02-24,10р,6,1,,,,
2018-02-25,10р,6,1,,,,
2018-02-26,10р,6,1,,,,
2018-02-27,10р,6,1,,,,
2018-02-28,10р,6,1,,,,
2018-03-01,10р,6,1,,,,
2018-03-02,10р,6,1,,,,
2018-03-03,10р,6,1,,,,
2018-03-04,10р,6,1,,,,
2018-03-05,10р,6,1,,,,
2018-03-06,10р,6,1,,,,
2018-03-07,10р,6,1,,,,
2018-03-08,10р,6,1,,,,
2018-03-09,10р,6,1,,,,
2018-03-10,10р,6,1,,,,
2018-03-11,10р,6,1,,,,
2018-03-12,10р,6,1,,,,
2018-03-13,10р,6,1,,,,
2018-03-14,10р,6,1,,,,
2018-03-15,10р,6,1,,,,
2018-03-16,10р,6,1,,,,
2018-03-17,10р,6,1,,,,
2018-03-18,10р,6,1,,,,
2018-03-19,10р,6,1,,,,
2018-03-20,10р,6,1,,,,
2018-03-21,10р,6,1,,,,
2018-03-22,10р,6,1,,,,
2018-03-23,10р,6,1,,,,
2018-03-24,10р,6,1,,,,
2018-03-25,10р,6,1,,,,
2018-03-26,10р,6,1,,,,
2018-03-27,10р,6,1,,,,
2018-03-28,10р,6,1,,,,
2018-03-29,10р,6,1,,,,
2018-03-30,10р,6,1,,,,
2018-03-31,10р,6,1,,,,
2018-04-01,10р,6,1,,,,
2018-04-02,10р,6,1,,,,
2018-04-03,10р,6,1,,,,
2018-04-04,10р,6,1,,,,
2018-04-05,10р,6,1,,,,
2018-04-06,10р,6,1,,,,
2018-04-07,10р,6,1,,,,
2018-04-08,10р,6,1,,,,
2018-04-09,10р,6,1,,,,
2018-04-10,10р,6,1,,,,
2018-04-11,10р,6,1,,,,
2018-04-12,10р,6,1,,,,
2018-04-13,10р,6,1,,,,
2018-04-14,10р,6,1,,,,
2018-04-15,10р,6,1,,,,
2018-04-16,10р,6,1,,,,
2018-04-17,10р,6,1,,,,
2018-04-18,10р,6,1,,,,
2018-04-19,10р,6,1,,,,
2018-04-20,10р,6,1,,,,
2018-04-21,10р,6,1,,,,
2018-04-22,10р,6,1,,,,
2018-04-23,10р,6,1,,,,
2018-04-24,10р,6,1,,,,
2018-04-25,10р,6,1,,,,
2018-04-26,10р,6,1,,,,
2018-04-27,10р,6,1,,,,
2018-04-28,10р,6,1,,,,
2018-04-29,10р,6,1,,,,
2018-04-30,10р,6,1,,,,
2018-05-01,10р,6,1,,,,
2018-05-02,10р,6,1,,,,
2018-05-03,10р,6,1,,,,
2018-05-04,10р,6,1,,,,
2018-05-05,10р,6,1,,,,
2018-05-06,10р,6,1,,,,
2018-05-07,10р,6,1,,,,
2018-05-08,10р,6,1,,,,
2018-05-09,10р,6,1,,,,
2018-05-10,10р,6,1,,,,
2018-05-11,10р,6,1,,,,
2018-05-12,10р,6,1,,,,
2018-05-13,10р,6,1,,,,
2018-05-14,10р,6,1,,,,
2018-05-15,10р,6,1,,,,
2018-05-16,10р,6,1,,,,
2018-05-17,10р,6,1,,,,
2018-05-18,10р,6,1,,,,
2018-05-19,10р,6,1,,,,
2018-05-20,10р,6,1,,,,
2018-05-21,10р,6,1,,,,
2018-05-22,10р,6,1,,,,
2018-05-23,10р,6,1,,,,
2018-05-24,10р,6,1,,,,
2018-05-25,10р,6,1,,,,
2018-05-26,10р,6,1,,,,
2018-05-27,10р,6,1,,,,
2018-05-28,10р,6,1,,,,
2018-05-29,10р,6,1,,,,
2018-05-30,10р,6,1,,,,
2018-05-31,10р,6,1,,,,
2018-06-01,10р,6,1,,,,
2018-06-02,10р,6,1,,,,
2018-06-03,10р,6,1,,,,
2018-06-04,10р,6,1,,,,
2018-06-05,10р,6,1,,,,
2018-06-06,10р,6,1,,,,
2018-06-07,10р,6,1,,,,
2018-06-08,10р,6,1,,,,
2018-06-09,10р,6,1,,,,
2018-06-10,10р,6,1,,,,
2018-06-11,10р,6,1,,,,
2018-06-12,10р,6,1,,,,
2018-06-13,10р,6,1,,,,
2018-06-14,10р,6,1,,,,
2018-06-15,10р,6,1,,,,
2018-06-16,10р,6,1,,,,
2018-06-17,10р,6,1,,,,
2018-06-18,10р,6,1,,,,
2018-06-19,10р,6,1,,,,
2018-06-20,10р,6,1,,,,
2018-06-21,10р,6,1,,,,
2018-06-22,10р,6,1,,,,
2018-06-23,10р,6,1,,,,
2018-06-24,10р,6,1,,,,
2018-06-25,10р,6,1,,,,
2018-06-26,10р,6,1,,,,
2018-06-27,10р,6,1,,,,
2018-06-28,10р,6,1,,,,
2018-06-29,10р,6,1,,,,
2018-06-30,10р,6,1,,,,
2018-07-01,10р,6,1,,,,
2018-07-02,10р,6,1,,,,
2018-07-03,10р,6,1,,,,
2018-07-04,10р,6,1,,,,
2018-07-05,10р,6,1,,,,
2018-07-06,10р,6,1,,,,
2018-07-07,10р,6,1,,,,
2018-07-08,10р,6,1,,,,
2018-07-09,10р,6,1,,,,
2018-07-10,10р,6,1,,,,
2018-07-11,10р,6,1,,,,
2018-07-13,10р,6,1,,,,
2018-07-14,10р,6,1,,,,
2018-07-15,10р,6,1,,,,
2018-07-16,10р,6,1,,,,
2018-07-17,10р,6,1,,,,
2018-07-18,10р,6,1,,,,
2018-07-19,10р,6,1,,,,
2018-07-20,10р,6,1,,,,
2018-07-21,10р,6,1,,,,
2018-07-22,10р,6,1,,,,
2018-07-23,10р,6,1,,,,
2018-07-24,10р,6,1,,,,
2018-07-25,10р,6,1,,,,
2018-07-26,10р,6,1,,,,
2018-07-27,10р,6,1,,,,
2018-07-28,10р,6,1,,,,
2018-07-29,10р,6,1,,,,
2018-07-30,10р,6,1,,,,
2018-07-31,10р,6,1,,,,
2018-02-01,1102,6,1,,,,
2018-02-02,1102,6,1,,,,
2018-02-03,1102,6,1,,,,
2018-02-04,1102,6,1,,,,
2018-02-05,1102,6,1,,,,
2018-02-06,1102,6,1,,,,
2018-02-07,1102,6,1,,,,
2018-02-08,1102,6,1,,,,
2018-02-09,1102,6,1,,,,
2018-02-10,1102,6,1,,,,
2018-02-11,1102,6,1,,,,
2018-02-12,1102,6,1,,,,
2018-02-13,1102,6,1,,,,
2018-02-14,1102,6,1,,,,
2018-02-15,1102,6,1,,,,
2018-02-16,1102,6,1,,,,
2018-02-17,1102,6,1,,,,
2018-02-18,1102,6,1,,,,
2018-02-19,1102,6,1,,,,
2018-02-20,1102,6,1,,,,
2018-02-21,1102,6,1,,,,
2018-02-22,1102,6,1,,,,
2018-02-23,1102,6,1,,,,
2018-02-24,1102,6,1,,,,
2018-02-25,1102,6,1,,,,
2018-02-26,1102,6,1,,,,
2018-02-27,1102,6,1,,,,
2018-02-28,1102,6,1,,,,
2018-03-01,1102,6,1,,,0.39382940108892917,
2018-03-02,1102,6,1,,,0.39382940108892917,
2018-03-03,1102,6,1,,,0.39382940108892917,
2018-03-04,1102,6,1,,,0.39382940108892917,
2018-03-05,1102,6,1,,,0.39382940108892917,
2018-03-06,1102,6,1,,,0.39382940108892917,
2018-03-07,1102,6,1,,,0.39382940108892917,
2018-03-08,1102,6,1,,,0.39382940108892917,
2018-03-09,1102,6,1,,,0.39382940108892917,
2018-03-10,1102,6,1,,,0.39382940108892917,
2018-03-11,1102,6,1,,,0.39382940108892917,
2018-03-12,1102,6,1,,,0.39382940108892917,
2018-03-13,1102,6,1,,,0.39382940108892917,
2018-03-14,1102,6,1,,,0.39382940108892917,
2018-03-16,1102,6,1,,,0.39382940108892917,
2018-03-17,1102,6,1,,,0.39382940108892917,
2018-03-18,1102,6,1,,,0.39382940108892917,
2018-03-19,1102,6,1,,,0.39382940108892917,
2018-03-20,1102,6,1,,,0.39382940108892917,
2018-03-21,1102,6,1,,,0.39382940108892917,
2018-03-22,1102,6,1,,,0.39382940108892917,
2018-03-23,1102,6,1,,,0.39382940108892917,
2018-03-24,1102,6,1,,,0.39382940108892917,
2018-03-25,1102,6,1,,,0.39382940108892917,
2018-03-26,1102,6,1,,,0.39382940108892917,
2018-03-27,1102,6,1,,,0.39382940108892917,
2018-03-28,1102,6,1,,,0.39382940108892917,
2018-03-29,1102,6,1,,,0.39382940108892917,
2018-03-30,1102,6,1,,,0.39382940108892917,
2018-03-31,1102,6,1,,,0.39382940108892917,
2018-04-01,1102,6,1,,,0.39382940108892917,
2018-04-02,1102,6,1,,,0.39382940108892917,
2018-04-03,1102,6,1,,,0.39382940108892917,
2018-04-04,1102,6,1,,,0.39382940108892917,
2018-04-05,1102,6,1,,,0.39382940108892917,
2018-04-06,1102,6,1,,,0.39382940108892917,
2018-04-07,1102,6,1,,,0.39382940108892917,
2018-04-08,1102,6,1,,,0.39382940108892917,
2018-04-09,1102,6,1,,,0.39382940108892917,
2018-04-10,1102,6,1,,,0.39382940108892917,
2018-04-11,1102,6,1,,,0.39382940108892917,
2018-04-12,1102,6,1,,,0.39382940108892917,
2018-04-13,1102,6,1,,,0.39382940108892917,
2018-04-14,1102,6,1,,,0.39382940108892917,
2018-04-15,1102,6,1,,,0.39382940108892917,
2018-04-16,1102,6,1,,,0.39382940108892917,
2018-04-17,1102,6,1,,,0.39382940108892917,
2018-04-18,1102,6,1,,,0.39382940108892917,
2018-04-19,1102,6,1,,,0.39382940108892917,
2018-04-20,1102,6,1,,,0.39382940108892917,
2018-04-21,1102,6,1,,,0.39382940108892917,
2018-04-22,1102,6,1,,,0.39382940108892917,
2018-04-23,1102,6,1,,,0.39382940108892917,
2018-04-24,1102,6,1,,,0.39382940108892917,
2018-04-25,1102,6,1,,,0.39382940108892917,
2018-04-26,1102,6,1,,,0.39382940108892917,
2018-04-27,1102,6,1,,,0.39382940108892917,
2018-04-28,1102,6,1,,,0.39382940108892917,
2018-04-29,1102,6,1,,,0.39382940108892917,
2018-04-30,1102,6,1,,,0.39382940108892917,
2018-05-01,1102,6,1,,,0.39382940108892917,
2018-05-02,1102,6,1,,,0.39382940108892917,
2018-05-03,1102,6,1,,,0.39382940108892917,
2018-05-04,1102,6,1,,,0.39382940108892917,
2018-05-05,1102,6,1,,,0.39382940108892917,
2018-05-06,1102,6,1,,,0.39382940108892917,
2018-05-07,1102,6,1,,,0.39382940108892917,
2018-05-08,1102,6,1,,,0.39382940108892917,
2018-05-09,1102,6,1,,,0.39382940108892917,
2018-05-10,1102,6,1,,,0.39382940108892917,
2018-05-11,1102,6,1,,,0.39382940108892917,
2018-05-12,1102,6,1,,,0.39382940108892917,
2018-05-13,1102,6,1,,,0.39382940108892917,
2018-05-14,1102,6,1,,,0.39382940108892917,
2018-05-15,1102,6,1,,,0.39382940108892917,
2018-05-16,1102,6,1,,,0.39382940108892917,
2018-05-17,1102,6,1,,,0.39382940108892917,
2018-05-18,1102,6,1,,,0.39382940108892917,
2018-05-19,1102,6,1,,,0.39382940108892917,
2018-05-20,1102,6,1,,,0.39382940108892917,
2018-05-21,1102,6,1,,,0.39382940108892917,
2018-05-22,1102,6,1,,,0.39382940108892917,
2018-05-23,1102,6,1,,,0.39382940108892917,
2018-05-24,1102,6,1,,,0.39382940108892917,
2018-05-25,1102,6,1,,,0.39382940108892917,
2018-05-26,1102,6,1,,,0.39382940108892917,
2018-05-27,1102,6,1,,,0.39382940108892917,
2018-05-28,1102,6,1,,,0.39382940108892917,
2018-05-29,1102,6,1,,,0.39382940108892917,
2018-05-30,1102,6,1,,,0.39382940108892917,
2018-05-31,1102,6,1,,,0.39382940108892917,
2018-06-01,1102,6,1,,,0.39382940108892917,
2018-06-02,1102,6,1,,,0.39382940108892917,
2018-06-03,1102,6,1,,,0.39382940108892917,
2018-06-04,1102,6,1,,,0.39382940108892917,
2018-06-05,1102,6,1,,,0.39382940108892917,
2018-06-06,1102,6,1,,,0.39382940108892917,
2018-06-07,1102,6,1,,,0.39382940108892917,
2018-06-08,1102,6,1,,,0.39382940108892917,
2018-06-09,1102,6,1,,,0.557168784029038,
2018-06-10,1102,6,1,,,0.557168784029038,
2018-06-11,1102,6,1,,,0.557168784029038,
2018-06-12,1102,6,1,,,0.557168784029038,
2018-06-13,1102,6,1,,,0.557168784029038,
2018-06-14,1102,6,1,,,0.557168784029038,
2018-06-15,1102,6,1,,,0.557168784029038,
2018-06-16,1102,6,1,,,0.39382940108892917,
2018-06-17,1102,6,1,,,0.39382940108892917,
2018-06-18,1102,6,1,,,0.39382940108892917,
2018-06-19,1102,6,1,,,0.39382940108892917,
2018-06-20,1102,6,1,,,0.39382940108892917,
2018-06-21,1102,6,1,,,0.39382940108892917,
2018-06-22,1102,6,1,,,0.39382940108892917,
2018-06-23,1102,6,1,,,0.39382940108892917,
2018-06-24,1102,6,1,,,0.39382940108892917,
2018-06-25,1102,6,1,,,0.39382940108892917,
2018-06-26,1102,6,1,,,0.39382940108892917,
2018-06-27,1102,6,1,,,0.39382940108892917,
2018-06-28,1102,6,1,,,0.39382940108892917,
2018-06-29,1102,6,1,,,0.39382940108892917,
2018-06-30,1102,6,1,,,0.39382940108892917,
2018-07-01,1102,6,1,,,0.39382940108892917,
2018-07-02,1102,6,1,,,0.39382940108892917,
2018-07-03,1102,6,1,,,0.39382940108892917,
2018-07-04,1102,6,1,,,0.39382940108892917,
2018-07-05,1102,6,1,,,0.39382940108892917,
2018-07-06,1102,6,1,,,0.39382940108892917,
2018-07-07,1102,6,1,,,0.39382940108892917,
2018-07-08,1102,6,1,,,0.39382940108892917,
2018-07-09,1102,6,1,,,0.39382940108892917,
2018-07-10,1102,6,1,,,0.39382940108892917,
2018-07-11,1102,6,1,,,0.39382940108892917,
2018-07-12,1102,6,1,,,0.39382940108892917,
2018-07-13,1102,6,1,,,0.39382940108892917,
2018-07-14,1102,6,1,,,0.39382940108892917,
2018-07-15,1102,6,1,,,0.39382940108892917,
2018-07-16,1102,6,1,,,0.39382940108892917,
2018-07-17,1102,6,1,,,0.39382940108892917,
2018-07-18,1102,6,1,,,0.39382940108892917,
2018-07-19,1102,6,1,,,0.39382940108892917,
2018-07-20,1102,6,1,,,0.39382940108892917,
2018-07-21,1102,6,1,,,0.39382940108892917,
2018-07-22,1102,6,1,,,0.39382940108892917,
2018-07-23,1102,6,1,,,0.39382940108892917,
2018-07-24,1102,6,1,,,0.39382940108892917,
2018-07-25,1102,6,1,,,0.39382940108892917,
2018-07-26,1102,6,1,,,0.39382940108892917,
2018-07-27,1102,6,1,,,0.39382940108892917,
2018-07-28,1102,6,1,,,0.39382940108892917,
2018-07-29,1102,6,1,,,0.39382940108892917,
2018-07-30,1102,6,1,,,0.39382940108892917,
2018-07-31,1102,6,1,,,0.39382940108892917,
2018-02-01,128,6,2,,,,
2018-02-02,128,6,2,,,,
2018-02-03,128,6,2,,,,
2018-02-04,128,6,2,,,,
2018-02-05,128,6,2,,,,
2018-02-06,128,6,2,,,,
2018-02-07,128,6,2,,,,
2018-02-08,128,6,2,,,,
2018-02-09,128,6,2,,,,
2018-02-10,128,6,2,,,,
2018-02-11,128,6,2,,,,
2018-02-12,128,6,2,,,,
2018-02-13,128,6,2,,,,
2018-02-14,128,6,2,,,,
2018-02-15,128,6,2,,,,
2018-02-16,128,6,2,,,,
2018-02-17,128,6,2,,,,
2018-02-18,128,6,2,,,,
2018-02-19,128,6,2,,,,
2018-02-20,128,6,2,,,,
2018-02-21,128,6,2,,,,
2018-02-22,128,6,2,,,,
2018-02-23,128,6,2,,,,
2018-02-24,128,6,2,,,,
2018-02-25,128,6,2,,,,
2018-02-26,128,6,2,,,,
2018-02-27,128,6,2,,,,
2018-02-28,128,6,2,,,,
2018-05-22,128,6,2,,,,
2018-05-23,128,6,2,,,0.012704174228675202,
2018-05-24,128,6,2,,,0.012704174228675202,
2018-05-25,128,6,2,,,0.012704174228675202,
2018-05-26,128,6,2,,,0.012704174228675202,
2018-05-27,128,6,0,,,0.012704174228675202,
2018-05-28,128,6,0,,0.26363636363636367,0.23593466424682397,
2018-05-29,128,6,0,,0.2606060606060605,0.20508166969147013,
2018-05-30,128,6,0,,0.2606060606060605,0.20508166969147013,
2018-05-31,128,6,0,,0.2606060606060605,0.20508166969147013,
2018-06-01,128,6,0,,0.2909090909090908,0.2540834845735027,
2018-06-02,128,6,0,,0.2909090909090908,0.2540834845735027,
2018-06-03,128,6,0,,0.2909090909090908,0.2540834845735027,
2018-06-04,128,6,0,,0.2909090909090908,0.2540834845735027,
2018-06-05,128,6,0,,0.2909090909090908,0.2540834845735027,
2018-06-06,128,6,0,,0.2909090909090908,0.2540834845735027,
2018-06-07,128,6,0,,0.2848484848484847,0.23774954627949185,
2018-06-08,128,6,0,,0.2848484848484847,0.23774954627949185,
2018-06-09,128,6,0,,0.2848484848484847,0.23774954627949185,
2018-06-10,128,6,0,,0.2848484848484847,0.23774954627949185,
2018-06-11,128,6,0,,0.2848484848484847,0.23774954627949185,
2018-06-12,128,6,0,,0.2848484848484847,0.23774954627949185,
2018-06-13,128,6,0,,0.2969696969696969,0.26315789473684204,
2018-06-14,128,6,0,,0.2969696969696969,0.26315789473684204,
2018-06-15,128,6,0,,0.2969696969696969,0.24863883847549917,
2018-06-16,128,6,0,,0.2969696969696969,0.24863883847549917,
2018-06-17,128,6,0,,0.2969696969696969,0.24863883847549917,
2018-06-18,128,6,0,,0.2969696969696969,0.24863883847549917,
2018-06-19,128,6,0,,0.2969696969696969,0.25226860254083494,
2018-06-20,128,6,0,,0.3090909090909091,0.2558983666061706,
2018-06-21,128,6,0,,0.3090909090909091,0.2558983666061706,
2018-06-22,128,6,0,,0.3090909090909091,0.2577132486388385,
2018-06-23,128,6,0,,0.3090909090909091,0.2540834845735027,
2018-06-24,128,6,0,,0.3090909090909091,0.2540834845735027,
2018-06-25,128,6,0,,0.3090909090909091,0.2540834845735027,
2018-06-26,128,6,0,,0.303030303030303,0.24682395644283117,
2018-06-27,128,6,0,,0.303030303030303,0.24682395644283117,
2018-06-28,128,6,0,,0.303030303030303,0.24682395644283117,
2018-06-29,128,6,0,,0.303030303030303,0.24682395644283117,
2018-06-30,128,6,0,,0.303030303030303,0.25045372050816705,
2018-07-01,128,6,0,,0.303030303030303,0.38294010889292185,
2018-07-02,128,6,0,,0.29393939393939394,0.4283121597096189,
