date,hole,method,mode,P(TM),P(rpr),P(nd),P(issl)
2018-03-26,232,6,0,47.0,144.9,122.2,156.0
2018-03-27,232,6,0,51.0,144.9,122.2,156.0
2018-04-01,232,6,1,191.0,,,
2018-04-02,232,6,1,191.0,,,
2018-04-03,232,6,1,191.0,,,
2018-04-04,232,6,1,191.0,,,
2018-04-05,232,6,1,191.0,,,
2018-04-06,232,6,1,192.0,,,
2018-04-07,232,6,1,191.0,,,
2018-04-08,232,6,1,191.0,,,
2018-04-09,232,6,1,192.0,,,
2018-04-10,232,6,1,192.0,,,
2018-04-11,232,6,1,192.0,,,
2018-04-12,232,6,1,192.0,,,
2018-04-13,232,6,1,192.0,,,
2018-04-14,232,6,1,193.0,,,
2018-04-15,232,6,1,193.0,,,
2018-04-16,232,6,1,193.0,,,
2018-04-17,232,6,1,193.0,,,
2018-04-19,232,6,1,195.0,,,
2018-04-20,232,6,1,199.0,,,
2018-04-21,232,6,1,197.0,,,
2018-04-22,232,6,1,196.0,,,
2018-04-23,232,6,1,196.0,,,
2018-04-24,232,6,1,195.0,,,
2018-04-25,232,6,1,195.0,,,
2018-04-26,232,6,1,195.0,,,
2018-04-27,232,6,1,197.0,,,
2018-04-28,232,6,1,197.0,,,
2018-04-29,232,6,1,197.0,,,
2018-04-30,232,6,1,196.0,,,
2018-04-01,232,6,0,,144.9,122.2,
2018-04-02,232,6,0,45.0,144.9,122.2,
2018-04-03,232,6,0,49.0,144.9,122.2,
2018-04-04,232,6,0,49.0,143.9,120.6,
2018-04-05,232,6,0,50.0,143.9,120.6,
2018-04-06,232,6,0,50.0,143.9,120.6,
2018-04-07,232,6,0,50.0,143.0,117.7,
2018-04-08,232,6,0,49.0,143.0,117.7,
2018-04-09,232,6,0,48.0,143.0,117.7,
2018-04-10,232,6,0,49.0,143.0,117.7,
2018-04-11,232,6,0,49.0,142.3,116.0,
2018-04-12,232,6,0,48.0,142.3,116.0,
2018-04-13,232,6,0,49.0,142.3,116.0,
2018-04-14,232,6,0,49.0,144.2,120.6,
2018-04-15,232,6,0,50.0,144.2,120.6,
2018-04-16,232,6,0,49.0,144.2,120.6,
2018-04-17,232,6,0,48.0,144.7,121.8,
2018-04-18,232,6,0,48.0,144.7,122.8,
2018-04-19,232,6,0,49.0,144.7,122.8,
2018-04-20,232,6,0,49.0,144.7,122.8,
2018-04-21,232,6,0,51.0,144.7,122.8,
2018-04-22,232,6,0,48.0,144.7,122.8,
2018-04-23,232,6,0,49.0,142.4,116.9,
2018-04-24,232,6,0,49.0,142.4,116.1,
2018-04-25,232,6,0,49.0,141.5,113.8,
2018-04-26,232,6,0,48.0,141.5,113.8,
2018-04-27,232,6,0,51.0,141.5,113.8,
2018-04-28,232,6,0,50.0,141.5,113.8,
2018-04-29,232,6,0,48.0,140.1,111.3,
2018-04-30,232,6,0,48.0,140.1,111.3,
2018-05-01,232,6,1,197.0,,,
2018-05-02,232,6,1,197.0,,,
2018-05-03,232,6,1,197.0,,,
2018-05-04,232,6,1,197.0,,,
2018-05-05,232,6,1,197.0,,,
2018-05-06,232,6,1,198.0,,,
2018-05-07,232,6,1,198.0,,,
2018-05-08,232,6,1,198.0,,,
2018-05-09,232,6,1,198.0,,,
2018-05-10,232,6,1,198.0,,,
2018-05-11,232,6,1,198.0,,,
2018-05-12,232,6,1,198.0,,,
2018-05-13,232,6,1,198.0,,,
2018-05-14,232,6,1,198.0,,,
2018-05-15,232,6,1,198.0,,,
2018-05-16,232,6,1,198.0,,,
2018-05-17,232,6,1,198.0,,,
2018-05-18,232,6,1,198.0,,,
2018-05-19,232,6,1,198.0,,,
2018-05-20,232,6,1,199.0,,,
2018-05-21,232,6,1,199.0,,,
2018-05-22,232,6,1,199.0,,,
2018-05-23,232,6,1,199.0,,,
2018-05-24,232,6,1,199.0,,,
2018-05-25,232,6,1,200.0,,,
2018-05-26,232,6,1,200.0,,,
2018-05-27,232,6,1,200.0,,,
2018-05-28,232,6,1,200.0,,,
2018-05-29,232,6,1,200.0,,,
2018-05-30,232,6,1,200.0,,,
2018-05-31,232,6,1,201.0,,,
2018-05-01,232,6,0,50.0,140.1,110.5,
2018-05-02,232,6,0,49.0,140.1,110.5,
2018-05-03,232,6,0,48.0,140.1,110.5,
2018-05-04,232,6,0,49.0,140.1,110.5,
