Скважина:Дата замера:Способ эксплуатации:Режим:Рпр(ТМ):Рзаб(Рпр):Рзаб(Нд):Рзаб(иссл)
1:2018.01.01::ПКВ:::44.2:55
1:2018.01.02::ПКВ:::43:55
1:2018.01.03::ПКВ:::44.2:55
1:2018.01.04::ПКВ:::44.2:55
1:2018.01.05::ПКВ:::44.2:55
1:2018.01.06::ПКВ:::44.2:55
1:2018.01.07::ПКВ:::44.2:55
1:2018.01.08::ПКВ:::44.2:55
1:2018.01.09::ПКВ:::44.2:55
1:2018.01.10::ПКВ:::44.2:55
1:2018.01.11::ПКВ:::44.2:55
1:2018.01.12::ПКВ:::43:55
1:2018.01.13::ПКВ:::44.2:55
1:2018.04.12:Электропогружным насосом:ПКВ:::57.2:72
1:2018.04.13:Электропогружным насосом:ПКВ:::55.9:72
1:2018.04.14:Электропогружным насосом:ПКВ:::55.9:72
1:2018.04.15:Электропогружным насосом:ПКВ:::55.9:72
1:2018.04.16:Электропогружным насосом:ПКВ:::55.9:72
1:2018.04.17:Электропогружным насосом:ПКВ:::55.9:72
1:2018.04.18:Электропогружным насосом:ПКВ:::55.9:72
1:2018.04.19:Электропогружным насосом:ПКВ:::68.3:72
1:2018.04.20:Электропогружным насосом:ПКВ:::68.3:72
1:2018.04.21:Электропогружным насосом:ПКВ:::66.3:72
1:2018.04.22:Электропогружным насосом:ПКВ:::66.3:72
1:2018.04.23:Электропогружным насосом:ПКВ:::66.3:72
1:2018.04.24:Электропогружным насосом:ПКВ:::64.8:72
1:2018.04.25:Электропогружным насосом:ПКВ:::64.8:72
1:2018.04.27:Электропогружным насосом:ПКВ:::65.4:72
1:2018.04.28:Электропогружным насосом:ПКВ:::65.4:72
1:2018.04.29:Электропогружным насосом:ПКВ:::65.4:72
1:2018.04.30:Электропогружным насосом:ПКВ:::65.4:72
1:2018.05.01:Электропогружным насосом:ПКВ:::66.8:72
1:2018.05.02:Электропогружным насосом:ПКВ:::65.4:72
1:2018.05.03:Электропогружным насосом:ПКВ:::65.4:72
1:2018.05.04:Электропогружным насосом:ПКВ:::65.4:72
1:2018.05.05:Электропогружным насосом:ПКВ:::65.4:72
1:2018.05.06:Электропогружным насосом:ПКВ:::65.2:72
1:2018.05.07:Электропогружным насосом:ПКВ:::65.2:72
1:2018.05.08:Электропогружным насосом:ПКВ:::65.2:72
1:2018.05.09:Электропогружным насосом:ПКВ:::65.2:72
1:2018.05.10:Электропогружным насосом:ПКВ:::65.2:72
1:2018.05.11:Электропогружным насосом:ПКВ:::65.2:72
1:2018.05.12:Электропогружным насосом:ПКВ:::65.2:72
1:2018.05.13:Электропогружным насосом:ПКВ:::65.2:72
1:2018.05.14:Электропогружным насосом:ПКВ:::65.3:72
1:2018.05.15:Электропогружным насосом:ПКВ:::52.2:72
1:2018.05.16:Электропогружным насосом:ПКВ:::52.2:72
1:2018.05.17:Электропогружным насосом:ПКВ:::52.2:72
1:2018.05.18:Электропогружным насосом:ПКВ:::51.7:72
1:2018.05.19:Электропогружным насосом:ПКВ:::51.7:72
1:2018.05.20:Электропогружным насосом:ПКВ:::51.7:72
1:2018.05.21:Электропогружным насосом:ПКВ:::51.8:72
1:2018.05.22:Электропогружным насосом:ПКВ:::51.8:72
1:2018.05.23:Электропогружным насосом:ПКВ:::51.8:72
1:2018.05.24:Электропогружным насосом:ПКВ:::51.8:72
1:2018.05.25:Электропогружным насосом:ПКВ:::51.9:72
1:2018.05.26:Электропогружным насосом:ПКВ:::51.9:72
1:2018.05.27:Электропогружным насосом:ПКВ:::51.9:72
1:2018.05.28:Электропогружным насосом:ПКВ:::51.9:72
1:2018.05.29:Электропогружным насосом:ПКВ:::52.1:72
1:2018.05.30:Электропогружным насосом:ПКВ:::52.1:72
1:2018.05.31:Электропогружным насосом:ПКВ:::52.1:72
1:2018.06.01:Электропогружным насосом:ПКВ:::52.1:72
1:2018.06.02:Электропогружным насосом:ПКВ:::52.1:72
1:2018.06.03:Электропогружным насосом:ПКВ:::52.1:72
1:2018.06.04:Электропогружным насосом:ПКВ:::52.1:72
1:2018.06.05:Электропогружным насосом:ПКВ:::50:72
1:2018.06.06:Электропогружным насосом:ПКВ:::50:72
1:2018.06.07:Электропогружным насосом:ПКВ:::50.2:72
1:2018.06.08:Электропогружным насосом:ПКВ:::50.2:72
1:2018.06.09:Электропогружным насосом:ПКВ:::50.5:72
1:2018.06.10:Электропогружным насосом:ПКВ:::50.5:72
1:2018.06.11:Электропогружным насосом:ПКВ:::50.5:72
1:2018.06.12:Электропогружным насосом:ПКВ:::50.5:72
1:2018.06.13:Электропогружным насосом:ПКВ:::50.5:72
1:2018.06.14:Электропогружным насосом:ПКВ:::50.6:72
1:2018.06.15:Электропогружным насосом:ПКВ:::50.6:72
1:2018.06.16:Электропогружным насосом:ПКВ:::50.6:72
1:2018.06.17:Электропогружным насосом:ПКВ:::50.6:72
1:2018.06.18:Электропогружным насосом:ПКВ:::50.7:72
1:2018.06.19:Электропогружным насосом:ПКВ:::50.7:72
1:2018.06.20:Электропогружным насосом:ПКВ:::43726:72
1:2018.06.21:Электропогружным насосом:ПКВ:::43516:72
1:2018.06.22:Электропогружным насосом:ПКВ:::43544:72
1:2018.06.23:Электропогружным насосом:ПКВ:::43544:72
1:2018.06.24:Электропогружным насосом:ПКВ:::43544:72
1:2018.06.25:Электропогружным насосом:ПКВ:::43726:72
1:2018.06.26:Электропогружным насосом:ПКВ:::43726:72
1:2018.06.27:Электропогружным насосом:ПКВ:::43726:72
1:2018.06.28:Электропогружным насосом:ПКВ:::43726:72
1:2018.06.29:Электропогружным насосом:ПКВ:::43544:72
1:2018.06.30:Электропогружным насосом:ПКВ:::43726:72
1:2018.07.01:Электропогружным насосом:ПКВ:::43484:
1:2018.07.02:Электропогружным насосом:ПКВ:::43672:
1:2018.07.03:Электропогружным насосом:ПКВ:::43672:
1:2018.07.04:Электропогружным насосом:ПКВ:::43672:
1:2018.07.05:Электропогружным насосом:ПКВ:::43734:
1:2018.07.06:Электропогружным насосом:ПКВ:::43734:
1:2018.07.07:Электропогружным насосом:ПКВ:::43552:
1:2018.07.08:Электропогружным насосом:ПКВ:::43552:
1:2018.07.09:Электропогружным насосом:ПКВ:::43549:
1:2018.07.10:Электропогружным насосом:ПКВ:::43549:
1:2018.07.11:Электропогружным насосом:ПКВ:::43549:
1:2018.07.12:Электропогружным насосом:ПКВ:::43549:
1:2018.07.13:Электропогружным насосом:ПКВ:::43520:
1:2018.07.14:Электропогружным насосом:ПКВ:::43578:
1:2018.07.15:Электропогружным насосом:ПКВ:::43578:
1:2018.07.16:Электропогружным насосом:ПКВ:::43578:
1:2018.07.17:Электропогружным насосом:ПКВ:::43670:
1:2018.07.18:Электропогружным насосом:ПКВ:::43578:
1:2018.07.19:Электропогружным насосом:ПКВ:::43670:
1:2018.07.20:Электропогружным насосом:ПКВ:::43670:
1:2018.07.21:Электропогружным насосом:ПКВ:::43640:
1:2018.07.22:Электропогружным насосом:ПКВ:::43640:
1:2018.07.23:Электропогружным насосом:ПКВ:::43645:
1:2018.07.24:Электропогружным насосом:ПКВ:::43645:
1:2018.07.25:Электропогружным насосом:ПКВ:::43645:
1:2018.07.26:Электропогружным насосом:ПКВ:::43614:
1:2018.07.27:Электропогружным насосом:ПКВ:::43707:
1:2018.07.28:Электропогружным насосом:ПКВ:::43493:
1:2018.07.29:Электропогружным насосом:ПКВ:::43493:
1:2018.07.30:Электропогружным насосом:ПКВ:::43493:
1:2018.07.31:Электропогружным насосом:ПКВ:::43493:
10:2018.02.01:Электропогружным насосом:::::
10:2018.02.02:Электропогружным насосом:::::
10:2018.02.03:Электропогружным насосом:::::
10:2018.02.04:Электропогружным насосом:::::
10:2018.02.05:Электропогружным насосом:::::
10:2018.02.06:Электропогружным насосом:::::
10:2018.02.07:Электропогружным насосом:::::
10:2018.02.08:Электропогружным насосом:::::
10:2018.02.09:Электропогружным насосом:::::
10:2018.02.10:Электропогружным насосом:::::
10:2018.02.11:Электропогружным насосом:::::
10:2018.02.12:Электропогружным насосом:::::
10:2018.02.13:Электропогружным насосом:::::
10:2018.02.14:Электропогружным насосом:::::
10:2018.02.15:Электропогружным насосом:::::
10:2018.02.16:Электропогружным насосом:::::
10:2018.02.17:Электропогружным насосом:::::
10:2018.02.18:Электропогружным насосом:::::
10:2018.02.19:Электропогружным насосом:::::
10:2018.02.20:Электропогружным насосом:::::
10:2018.02.21:Электропогружным насосом:::::
10:2018.02.22:Электропогружным насосом:::::
10:2018.02.23:Электропогружным насосом:::::
10:2018.02.24:Электропогружным насосом:::::
10:2018.02.25:Электропогружным насосом:::::
10:2018.02.26:Электропогружным насосом:::::
10:2018.02.27:Электропогружным насосом:::::
